id,code,name,legacyCategory,garments,album,proposedSection,proposedDesignGroup,confidence,reviewRequired,reason,image
"7008","","Buzo Dave Mustaine FMD","Buzo Cuello Redondo","buzo_cuello_redondo","","dave-mustaine","Buzo Dave Mustaine FMD","medium","true","nombre principal contiene Dave/Mustaine","images/buzos cuello redondo/megadeth_dave_mustainejpg.jpg"
"2801","","Dave 1992 V1","Dave Mustaine","remera","Countdown to Extinction","dave-mustaine","Countdown to Extinction","high","false","category legado Dave Mustaine","images/musicians/Dave_Mustaine/dave_1992_v1.jpg"
"2802","","Dave 90s RIP Live","Dave Mustaine","remera","Rust in Peace","dave-mustaine","Rust in Peace","high","false","category legado Dave Mustaine","images/musicians/Dave_Mustaine/dave_90s_rip_live.jpg"
"2811","","Dave Angel of Deth","Dave Mustaine","remera","","dave-mustaine","Dave Angel of Deth","high","false","category legado Dave Mustaine","images/musicians/Dave_Mustaine/dave_mustaine_angel_of_deth.jpg"
"2806","","Dave Fuck You","Dave Mustaine","remera","","dave-mustaine","Dave Fuck You","high","false","category legado Dave Mustaine","images/musicians/Dave_Mustaine/frente_dave_fuck_you.jpg"
"6014","","Dave Mustaine Argentina V1","Dave Mustaine","remera","","dave-mustaine","Dave Mustaine Argentina V1","high","false","category legado Dave Mustaine","images/musicians/Dave_Mustaine/dave_mustaine_argv1.jpg"
"2814","","Dave So Far Era","Dave Mustaine","remera","So Far, So Good... So What!","dave-mustaine","So Far, So Good... So What!","high","false","category legado Dave Mustaine","images/musicians/Dave_Mustaine/dave_so_far_era.jpg"
"2815","","Dave Vic RIP","Dave Mustaine","remera","Rust in Peace","dave-mustaine","Rust in Peace","high","false","category legado Dave Mustaine","images/musicians/Dave_Mustaine/dave_vic_rip.jpg"
"5056","","Hoodie Dave SFSGSW Era","Hoodies FMD","hoodie","So Far, So Good... So What!","dave-mustaine","So Far, So Good... So What!","medium","true","nombre principal contiene Dave/Mustaine","images/hoddies_fmd/dave_sfsgsw_era.jpg"
"31","","Formaciones","Musician","remera","","members","Formaciones","high","false","category legado Musician","images/musicians/formaciones/peace_sells_era.jpg"
"29","","Marty Friedman","Musician","remera","","members","Marty Friedman","high","false","category legado Musician","images/musicians/Marty_Friedman/Marty_1990_cte.jpg"
"30","","Nick Menza","Musician","remera","","members","Nick Menza","high","false","category legado Musician","images/musicians/Nick_Menza/nick_menza_rip_tour.jpg"
"7004","","Buzo Countdown to Extinction FMD","Buzo Cuello Redondo","buzo_cuello_redondo","Countdown to Extinction","original-fmd","Countdown to Extinction","medium","true","nombre o colección declara FMD","images/buzos cuello redondo/megadeth_countdown_original_fmd.jpg"
"7009","","Buzo Guitarra Argentina FMD","Buzo Cuello Redondo","buzo_cuello_redondo","","original-fmd","Buzo Guitarra Argentina FMD","medium","true","nombre o colección declara FMD","images/buzos cuello redondo/megadeth_guitar_arg_fmd.jpg"
"7005","","Buzo Killing is My Business FMD","Buzo Cuello Redondo","buzo_cuello_redondo","Killing Is My Business... and Business Is Good!","original-fmd","Killing Is My Business... and Business Is Good!","medium","true","nombre o colección declara FMD","images/buzos cuello redondo/megadeth_killing_original_fmd.jpg"
"7014","","Buzo Megadeth Blanco FMD","Buzo Cuello Redondo","buzo_cuello_redondo","","original-fmd","Buzo Megadeth Blanco FMD","medium","true","nombre o colección declara FMD","images/buzos cuello redondo/megadeth_blanco.jpg"
"7003","","Buzo Rust Formation FMD","Buzo Cuello Redondo","buzo_cuello_redondo","Rust in Peace","original-fmd","Rust in Peace","medium","true","nombre o colección declara FMD","images/buzos cuello redondo/megadeth_rust_formation_original_fmd.jpg"
"7001","","Buzo Rust in Peace FMD","Buzo Cuello Redondo","buzo_cuello_redondo","Rust in Peace","original-fmd","Rust in Peace","medium","true","nombre o colección declara FMD","images/buzos cuello redondo/megadeth_rust_in_peace_original_fmd.jpg"
"7006","","Buzo So Far So Good FMD","Buzo Cuello Redondo","buzo_cuello_redondo","So Far, So Good... So What!","original-fmd","So Far, So Good... So What!","medium","true","nombre o colección declara FMD","images/buzos cuello redondo/megadeth_sfsgsw_fmd.jpg"
"7007","","Buzo Youthanasia FMD","Buzo Cuello Redondo","buzo_cuello_redondo","Youthanasia","original-fmd","Youthanasia","medium","true","nombre o colección declara FMD","images/buzos cuello redondo/megadeth_youthanasia_original_fmd.jpg"
"5077","","Hoodie Rusted Pieces","Hoodies FMD","hoodie","","original-fmd","Hoodie Rusted Pieces","medium","true","nombre o colección declara FMD","images/hoddies_fmd/hoodie_rusted.png"
"6026","","Killing Is my Bussines FMD Edition","Album","remera","Killing Is My Business... and Business Is Good!","original-fmd","Killing Is My Business... and Business Is Good!","high","false","nombre o colección declara FMD","images/fmd-edition-3d/killing/killing_final_3d_edition.jpg"
"6027","","Peace Sells FMD Edition","Album","remera","Peace Sells... but Who's Buying?","original-fmd","Peace Sells... but Who's Buying?","high","false","nombre o colección declara FMD","images/fmd-edition-3d/peace/peace_3d_edition_v1.jpg"
"6032","","Rust in Peace / Hangar 18 Reimagined","Singles","remera|hoodie","Rust in Peace","original-fmd","Rust in Peace","medium","true","nombre o colección declara FMD","images/albums/Rust_in_peace/rust in peace - re-imaginado/rip_fmd_frente.jpg"
"7010","","Buzo Tour FMD","Buzo Cuello Redondo","buzo_cuello_redondo","","tours","Buzo Tour FMD","medium","true","nombre principal contiene Tour/Dorso","images/buzos cuello redondo/megadeth_tour_fmd.jpg"
"5021","","Dorso Arg Tour","Dorsales","remera","","tours","Dorso Arg Tour","high","false","category legado Dorsales","images/dorsos/dorso_arg_tour.png"
"5019","","Dorso Dave Argentina","Dorsales","remera","","tours","Dorso Dave Argentina","high","false","category legado Dorsales","images/dorsos/dorso_dave_argentina.jpg"
"5020","","Dorso Tour","Dorsales","remera","","tours","Dorso Tour","high","false","category legado Dorsales","images/dorsos/dorso_tour.jpg"
"400","","Dorso Tour BN","Dorsales","remera","","tours","Dorso Tour BN","high","false","category legado Dorsales","images/dorsos/dorso_tour_BN.jpg"
"401","","Dorso Tour Oficial","Dorsales","remera","","tours","Dorso Tour Oficial","high","false","category legado Dorsales","images/dorsos/dorso_tour_oficial.jpg"
"402","","Dorso Tour v1","Dorsales","remera","","tours","Dorso Tour v1","high","false","category legado Dorsales","images/dorsos/dorso_tour_v1.jpg"
"403","","Dorso Tour v2","Dorsales","remera","","tours","Dorso Tour v2","high","false","category legado Dorsales","images/dorsos/dorso_tour_v2.jpg"
"406","","Dorso Vic Tour","Dorsales","remera","","tours","Dorso Vic Tour","high","false","category legado Dorsales","images/dorsos/dorso_vic_tour.jpg"
"407","","Dorso Vic Tour BLK","Dorsales","remera","","tours","Dorso Vic Tour BLK","high","false","category legado Dorsales","images/dorsos/dorso_vic_tour_blk.jpg"
"404","","Guitarra Arg Dorso Blanca","Dorsales","remera","","tours","Guitarra Arg Dorso Blanca","high","false","category legado Dorsales","images/dorsos/guitarra_arg_dorso_blanca (1).png"
"5074","","Hoodie Merch Tour V1","Hoodies FMD","hoodie","","tours","Hoodie Merch Tour V1","medium","true","nombre principal contiene Tour/Dorso","images/tours/merch tour this was our life 2026/hoodies/merch_tour_v1.jpg"
"300","","Marty & Dave","Tour","remera","","tours","Marty & Dave","high","false","category legado Tour","images/tours/Live/marty_dave.jpg"
"301","","Peace Sells Live","Tour","remera","Peace Sells... but Who's Buying?","tours","Peace Sells... but Who's Buying?","high","false","category legado Tour","images/tours/Live/peace_sells_live.jpg"
"40","","Tour Argentina","Tour","remera","","tours","Tour Argentina","high","false","category legado Tour","images/tours/Tour_argentina/poster_tour_argentina.jpg"
"39","","VIC GAUCHO ARGENTINO","Tour","remera","","tours","VIC GAUCHO ARGENTINO","high","false","category legado Tour","images/tours/Vic_Gaucho_Argentino/vic_gaucho_original.jpg"
"320","","Vic Tour 2026","Tour","remera","","tours","Vic Tour 2026","high","false","category legado Tour","images/tours/Tour_2026/vic_tour_2026_v1.jpg"
"405","","Vic Tour 2026","Tour","remera","","tours","Vic Tour 2026","high","false","category legado Tour","images/tours/Tour_2026/vic_tour_2026_v4.png"
"6022","","Fast... Loud... and Rude! â€” Skull Splitting Metal","Orígenes","remera","","dave-mustaine","Fast... Loud... and Rude! â€” Skull Splitting Metal","confirmed","false","confirmado manualmente por Fernando","images/orígenes/frente_blanca_v1.png"
"5076","","Hoodie Guitarra Argentina","Hoodies FMD","hoodie","","dave-mustaine","Hoodie Guitarra Argentina","confirmed","false","confirmado manualmente por Fernando","images/hoddies_fmd/guitarra_argentina.png"
"5068","","Hoodie I Don't Care","Hoodies FMD","hoodie","","albums","Hoodie I Don't Care","confirmed","false","confirmado manualmente por Fernando","images/hoddies_fmd/i_dont_care.jpg"
"5069","","Hoodie Let There Be Shred","Hoodies FMD","hoodie","","albums","Hoodie Let There Be Shred","confirmed","false","confirmado manualmente por Fernando","images/hoddies_fmd/let_there_be_shred.jpg"
"5067","","Hoodie Made to Kill","Hoodies FMD","hoodie","","albums","Hoodie Made to Kill","confirmed","false","confirmado manualmente por Fernando","images/hoddies_fmd/made_to_kill.jpg"
"5060","","Hoodie Megadeth Blanco","Hoodies FMD","hoodie","","albums","Hoodie Megadeth Blanco","confirmed","false","confirmado manualmente por Fernando","images/hoddies_fmd/megadeth_final_white.jpg"
"5059","","Hoodie Megadeth Final","Hoodies FMD","hoodie","","albums","Hoodie Megadeth Final","confirmed","false","confirmado manualmente por Fernando","images/hoddies_fmd/megadeth_final_black.jpg"
"5070","","Hoodie Tipping Point","Hoodies FMD","hoodie","","albums","Hoodie Tipping Point","confirmed","false","confirmado manualmente por Fernando","images/hoddies_fmd/tipping_point.jpg"
"1065","","RIDE THE LIGHTNING BY MEGADETH","Singles","remera","","vic-rattlehead","RIDE THE LIGHTNING BY MEGADETH","confirmed","false","confirmado manualmente por Fernando","images/singles/02 - the_condemned-toxic_green.jpg"
"236","","Rusted Pieces","Singles","remera","","vic-rattlehead","Rusted Pieces","confirmed","false","confirmado manualmente por Fernando","images/singles/rusted_pieces.jpg"
"246","","Singles Ultimo Disco","Singles","remera","","albums","Singles Ultimo Disco","confirmed","false","confirmado manualmente por Fernando","images/singles/let_there_be_shred.jpg"
"1064","","Anatomy of Vic","VicRattlehead","remera","","vic-rattlehead","Anatomy of Vic","high","false","category legado VicRattlehead","images/vic_rattlehead/anatomy_of_vic_v1.jpg"
"5124","","Countdown Vic","VicRattlehead","remera","Countdown to Extinction","vic-rattlehead","Countdown to Extinction","high","false","category legado VicRattlehead","images/vic_rattlehead/countdown_vic_v1.jpg"
"5050","","Dave and Vic Live","VicRattlehead","remera","","vic-rattlehead","Dave and Vic Live","high","false","category legado VicRattlehead","images/vic_rattlehead/dave_and_vic_live.jpg"
"5073","","Hoodie Vic Digital DLB","Hoodies FMD","hoodie","","vic-rattlehead","Hoodie Vic Digital DLB","medium","true","nombre principal contiene Vic","images/hoddies_fmd/vic_digital_dlb.jpg"
"5063","","Hoodie Vic Father","Hoodies FMD","hoodie","","vic-rattlehead","Hoodie Vic Father","medium","true","nombre principal contiene Vic","images/hoddies_fmd/vic_father_original.jpg"
"5075","","Hoodie Vic Militar","Hoodies FMD","hoodie","","vic-rattlehead","Hoodie Vic Militar","medium","true","nombre principal contiene Vic","images/hoddies_fmd/vic_militar_hoodie.png"
"5072","","Hoodie Vic Promo Tour 2026","Hoodies FMD","hoodie","","vic-rattlehead","Hoodie Vic Promo Tour 2026","medium","true","nombre principal contiene Vic","images/hoddies_fmd/vic_promo_tour_2026.jpg"
"314","","KIMB 40 Edition","VicRattlehead","remera","Killing Is My Business... and Business Is Good!","vic-rattlehead","Killing Is My Business... and Business Is Good!","high","false","category legado VicRattlehead","images/vic_rattlehead/kimb_40_edition_v1.jpg"
"6028","","Megadeth FMD Original","VicRattlehead","remera","","vic-rattlehead","Megadeth FMD Original","high","false","category legado VicRattlehead","images/fmd-edition-3d/vic_tour_2026/vic_silent_fmd_edition.jpg"
"420","","Militar Rattlehead","VicRattlehead","remera","","vic-rattlehead","Militar Rattlehead","high","false","category legado VicRattlehead","images/vic_rattlehead/militar_rattlehead.jpg"
"423","","Nuclear Vic Bomb","VicRattlehead","remera","","vic-rattlehead","Nuclear Vic Bomb","high","false","category legado VicRattlehead","images/vic_rattlehead/nuclear_vic_bomb.jpg"
"6023","","Vic & Friends â€” FMD Edition","VicRattlehead","remera","","vic-rattlehead","Vic & Friends â€” FMD Edition","high","false","category legado VicRattlehead","images/vic_rattlehead/vic_and_friends_fmd_edition.jpg"
"6030","","Vic Arrested","VicRattlehead","remera","","vic-rattlehead","Vic Arrested","high","false","category legado VicRattlehead","images/vic_rattlehead/vic_arrested.png"
"5027","","Vic Bad Omen","VicRattlehead","remera","Peace Sells... but Who's Buying?","vic-rattlehead","Peace Sells... but Who's Buying?","high","false","category legado VicRattlehead","images/vic_rattlehead/vic_bad_omen.jpg"
"5054","","Vic Black Friday","VicRattlehead","remera","Peace Sells... but Who's Buying?","vic-rattlehead","Peace Sells... but Who's Buying?","high","false","category legado VicRattlehead","images/vic_rattlehead/vic_black_friday.jpg"
"6024","","Vic Demons","VicRattlehead","remera","","vic-rattlehead","Vic Demons","high","false","category legado VicRattlehead","images/vic_rattlehead/vic_demons.jpg"
"6029","","Vic Doctor","VicRattlehead","remera","","vic-rattlehead","Vic Doctor","high","false","category legado VicRattlehead","images/vic_rattlehead/vic_doctor.png"
"419","","Vic Editions","VicRattlehead","remera","","vic-rattlehead","Vic Editions","high","false","category legado VicRattlehead","images/vic_rattlehead/vic_darker_edition.jpg"
"425","","Vic Explosion","VicRattlehead","remera","","vic-rattlehead","Vic Explosion","high","false","category legado VicRattlehead","images/vic_rattlehead/vic_explosion.png"
"426","","Vic Face Black","VicRattlehead","remera","","vic-rattlehead","Vic Face Black","high","false","category legado VicRattlehead","images/vic_rattlehead/vic_face_black.png"
"5026","","Vic Helicopter","VicRattlehead","remera","","vic-rattlehead","Vic Helicopter","high","false","category legado VicRattlehead","images/vic_rattlehead/vic_helicopter.jpg"
"1066","","Vic Kimb Vintage Real","VicRattlehead","remera","Killing Is My Business... and Business Is Good!","vic-rattlehead","Killing Is My Business... and Business Is Good!","high","false","category legado VicRattlehead","images/vic_rattlehead/vic_kimb_vintage_real.jpg"
"6025","","Vic Llamas FMD Edition","Album","remera","Megadeth (2026)","vic-rattlehead","Megadeth (2026)","medium","true","nombre principal contiene Vic","images/fmd-edition-3d/megadeth_last_album/vic_llamas_3d_edition_frente.jpg"
"430","","Vic Militar","VicRattlehead","remera","","vic-rattlehead","Vic Militar","high","false","category legado VicRattlehead","images/vic_rattlehead/vic_militar.png"
"235","","Vic Nuclear","Singles","remera","","vic-rattlehead","Vic Nuclear","medium","true","nombre principal contiene Vic","images/singles/vic_nuclear.jpg"
"5051","","Vic Peace 25","VicRattlehead","remera","Peace Sells... but Who's Buying?","vic-rattlehead","Peace Sells... but Who's Buying?","high","false","category legado VicRattlehead","images/vic_rattlehead/vic_peace_25_black.jpg"
"427","","Vic Punk","VicRattlehead","remera","","vic-rattlehead","Vic Punk","high","false","category legado VicRattlehead","images/vic_rattlehead/vic_punk.png"
"428","","Vic Radioactivo","VicRattlehead","remera","","vic-rattlehead","Vic Radioactivo","high","false","category legado VicRattlehead","images/vic_rattlehead/vic_radioactivo.jpg"
"304","","Vic Rattlehead - My Last Words","VicRattlehead","remera","Peace Sells... but Who's Buying?","vic-rattlehead","Peace Sells... but Who's Buying?","high","false","category legado VicRattlehead","images/vic_rattlehead/vic_rattlehead_my_last_words.jpg"
"5025","","Vic Rust Muro","VicRattlehead","remera","Rust in Peace","vic-rattlehead","Rust in Peace","high","false","category legado VicRattlehead","images/vic_rattlehead/vic_rust_muro.jpg"
"5029","","Vic Sells","VicRattlehead","remera","Peace Sells... but Who's Buying?","vic-rattlehead","Peace Sells... but Who's Buying?","high","false","category legado VicRattlehead","images/vic_rattlehead/vic_sells.jpg"
"5028","","Vic Set the World Afire","VicRattlehead","remera","So Far, So Good... So What!","vic-rattlehead","So Far, So Good... So What!","high","false","category legado VicRattlehead","images/vic_rattlehead/vic_set_the_world_afire.jpg"
"5030","","Vic Symphony","VicRattlehead","remera","","vic-rattlehead","Vic Symphony","high","false","category legado VicRattlehead","images/vic_rattlehead/vic_symphony.jpg"
"429","","Vic Symphony Music","VicRattlehead","remera","","vic-rattlehead","Vic Symphony Music","high","false","category legado VicRattlehead","images/vic_rattlehead/vic_symphony_music.png"
"5023","","Vic Terminator","VicRattlehead","remera","","vic-rattlehead","Vic Terminator","high","false","category legado VicRattlehead","images/vic_rattlehead/vic_terminator_frente.jpg"
"424","","Vic The Arsenal of Megadeth","VicRattlehead","remera","","vic-rattlehead","Vic The Arsenal of Megadeth","high","false","category legado VicRattlehead","images/vic_rattlehead/vic_the_arsenal_of_megadeth.png"
"5024","","Vic The Sick Trono","VicRattlehead","remera","The Sick, the Dying... and the Dead!","vic-rattlehead","The Sick, the Dying... and the Dead!","high","false","category legado VicRattlehead","images/vic_rattlehead/ts_v1.jpg"
