ID,nombre,imagenPrincipal,garments,categoryActual,designFamilyIdActual,megadethSectionActual,megadethAlbumActual,megadethEraActual,megadethDesignTypeActual,isDesignDuplicateCandidate,curationNotes,designFamilyIdCorregido,megadethSectionCorregido,megadethAlbumCorregido,megadethDesignTypeCorregido,decisionFinal,notaFernando
"5","Countdown to Extinction","images/albums/Countdown_to_extinction/countdown_to_extinction_frente.jpg","remera","Album","megadeth-countdown-to-extinction","albums","Countdown to Extinction","1992","album_cover","true","Familia relacionada detectada: megadeth-countdown-to-extinction; no fusionar automáticamente","","","","","",""
"6","Youthanasia","images/albums/Youthanasia/youthanasia.jpg","remera","Album","megadeth-youthanasia","albums","Youthanasia","1994","album_cover","true","Familia relacionada detectada: megadeth-youthanasia; no fusionar automáticamente","","","","","",""
"8","Cryptic Writings","images/albums/Cryptic_Writings/cryptic_writings_original.jpg","remera","Album","megadeth-cryptic-writings","albums","Cryptic Writings","1997","album_cover","true","Familia relacionada detectada: megadeth-cryptic-writings; no fusionar automáticamente","","","","","",""
"7","Dystopia","images/albums/Dystopia/dystopia.jpg","remera","Album","megadeth-dystopia","albums","Dystopia","2016","album_cover","true","Familia relacionada detectada: megadeth-dystopia; no fusionar automáticamente","","","","","",""
"16","The Sick, the Dying...And the Dead!","images/albums/The_sick/the_sick_the_dying_and_the_dead.jpg","remera","Album","megadeth-the-sick-the-dying-and-the-dead","albums","The Sick, the Dying... and the Dead!","2022","album_cover","true","Familia relacionada detectada: megadeth-the-sick-the-dying-and-the-dead; no fusionar automáticamente","","","","","",""
"17","Megadeth 2026","images/albums/Megadeth/vic_llamas_blanca.jpg","remera","Album","megadeth-megadeth","albums","Megadeth (2026)","2026","album_cover","true","Familia relacionada detectada: megadeth-megadeth; no fusionar automáticamente","","","","","",""
"235","Vic Nuclear","images/singles/vic_nuclear.jpg","remera","Singles","megadeth-card-235","vic_rattlehead","","","vic","false","Revisar sección propuesta: vic_rattlehead","","","","","",""
"236","Rusted Pieces","images/singles/rusted_pieces.jpg","remera","Singles","megadeth-rusted-pieces","vic_rattlehead","","","vic","true","Familia relacionada detectada: megadeth-rusted-pieces; no fusionar automáticamente","","","","","",""
"6015","Mary Jane","images/singles/mary_jane.jpg","remera","Singles","megadeth-card-6015","albums","So Far, So Good... So What!","1988","single","false","Revisar sección propuesta: albums","","","","","",""
"245","Dogs of Chernobyl","images/singles/dogs_of_chernobyl.jpg","remera","Singles","megadeth-card-245","albums","The Sick, the Dying... and the Dead!","2022","single","false","Revisar sección propuesta: albums","","","","","",""
"320","Vic Tour 2026","images/tours/Tour_2026/vic_tour_2026_v1.jpg","remera","Tour","megadeth-vic-tour","tours","","","tour","true","Familia relacionada detectada: megadeth-vic-tour; no fusionar automáticamente","","","","","",""
"430","Vic Militar","images/vic_rattlehead/vic_militar.png","remera","VicRattlehead","megadeth-vic-militar","vic_rattlehead","","","vic","true","Familia relacionada detectada: megadeth-vic-militar; no fusionar automáticamente","","","","","",""
"402","Dorso Tour v1","images/dorsos/dorso_tour_v1.jpg","remera","Dorsales","megadeth-tour","tours","","","front_back_set","true","Familia relacionada detectada: megadeth-tour; no fusionar automáticamente","","","","","",""
"403","Dorso Tour v2","images/dorsos/dorso_tour_v2.jpg","remera","Dorsales","megadeth-tour","tours","","","front_back_set","true","Familia relacionada detectada: megadeth-tour; no fusionar automáticamente","","","","","",""
"405","Vic Tour 2026","images/tours/Tour_2026/vic_tour_2026_v4.png","remera","Tour","megadeth-vic-tour","tours","","","tour","true","Familia relacionada detectada: megadeth-vic-tour; no fusionar automáticamente","","","","","",""
"406","Dorso Vic Tour","images/dorsos/dorso_vic_tour.jpg","remera","Dorsales","megadeth-vic-tour","tours","","","front_back_set","true","Familia relacionada detectada: megadeth-vic-tour; no fusionar automáticamente","","","","","",""
"5020","Dorso Tour","images/dorsos/dorso_tour.jpg","remera","Dorsales","megadeth-tour","tours","","","front_back_set","true","Familia relacionada detectada: megadeth-tour; no fusionar automáticamente","","","","","",""
"5022","The Sick, The Dying... and The Dead","images/singles/killing_time.jpg","remera","Singles","megadeth-the-sick-the-dying-and-the-dead","albums","The Sick, the Dying... and the Dead!","2022","single","true","Revisar sección propuesta: albums. Familia relacionada detectada: megadeth-the-sick-the-dying-and-the-dead; no fusionar automáticamente","","","","","",""
"5053","Hangar 18","images/singles/hangar_18_single_frente.jpg","remera","Singles","megadeth-card-5053","albums","Rust in Peace","1990","single","false","Revisar sección propuesta: albums","","","","","",""
"6031","Lucretia","images/singles/lucretia.jpg","remera","Singles","megadeth-card-6031","albums","Rust in Peace","1990","single","false","Revisar sección propuesta: albums","","","","","",""
"5057","Hoodie Killing Original","images/hoddies_fmd/killing_original.jpg","hoodie","Hoodies FMD","megadeth-card-5057","albums","Killing Is My Business... and Business Is Good!","1985","other","false","Revisar sección propuesta: albums","","","","","",""
"5061","Hoodie Peace Sells","images/hoddies_fmd/peace_sells.jpg","hoodie","Hoodies FMD","megadeth-peace-sells","albums","Peace Sells... but Who's Buying?","1986","other","true","Revisar sección propuesta: albums. Familia relacionada detectada: megadeth-peace-sells; no fusionar automáticamente","","","","","",""
"5056","Hoodie Dave SFSGSW Era","images/hoddies_fmd/dave_sfsgsw_era.jpg","hoodie","Hoodies FMD","megadeth-card-5056","dave_mustaine","So Far, So Good... So What!","1988","dave","false","Revisar sección propuesta: dave_mustaine","","","","","",""
"5062","Hoodie Rust in Peace","images/hoddies_fmd/rust_in_peace.jpg","hoodie","Hoodies FMD","megadeth-rust-in-peace","albums","Rust in Peace","1990","other","true","Revisar sección propuesta: albums. Familia relacionada detectada: megadeth-rust-in-peace; no fusionar automáticamente","","","","","",""
"5071","Hoodie Rust in Peace 1990","images/hoddies_fmd/rust_in_peace_1990.jpg","hoodie","Hoodies FMD","megadeth-rust-in-peace","albums","Rust in Peace","1990","other","true","Revisar sección propuesta: albums. Familia relacionada detectada: megadeth-rust-in-peace; no fusionar automáticamente","","","","","",""
"5055","Hoodie Countdown","images/hoddies_fmd/countdown.jpg","hoodie","Hoodies FMD","megadeth-card-5055","albums","Countdown to Extinction","1992","other","false","Revisar sección propuesta: albums","","","","","",""
"5064","Hoodie Youthanasia","images/hoddies_fmd/youthanasia.jpg","hoodie","Hoodies FMD","megadeth-youthanasia","albums","Youthanasia","1994","other","true","Revisar sección propuesta: albums. Familia relacionada detectada: megadeth-youthanasia; no fusionar automáticamente","","","","","",""
"5065","Hoodie Cryptic Writings","images/hoddies_fmd/cryptic.jpg","hoodie","Hoodies FMD","megadeth-cryptic-writings","albums","Cryptic Writings","1997","other","true","Revisar sección propuesta: albums. Familia relacionada detectada: megadeth-cryptic-writings; no fusionar automáticamente","","","","","",""
"5066","Hoodie Dystopia","images/hoddies_fmd/dystopia.jpg","hoodie","Hoodies FMD","megadeth-dystopia","albums","Dystopia","2016","other","true","Revisar sección propuesta: albums. Familia relacionada detectada: megadeth-dystopia; no fusionar automáticamente","","","","","",""
"5060","Hoodie Megadeth Blanco","images/hoddies_fmd/megadeth_final_white.jpg","hoodie","Hoodies FMD","megadeth-megadeth-blanco","albums","Megadeth (2026)","2026","other","true","Familia relacionada detectada: megadeth-megadeth-blanco; no fusionar automáticamente","","","","","",""
"5063","Hoodie Vic Father","images/hoddies_fmd/vic_father_original.jpg","hoodie","Hoodies FMD","megadeth-card-5063","vic_rattlehead","","","vic","false","Revisar sección propuesta: vic_rattlehead","","","","","",""
"5068","Hoodie I Don't Care","images/hoddies_fmd/i_dont_care.jpg","hoodie","Hoodies FMD","megadeth-card-5068","albums","","","other","false","Álbum pendiente de confirmación manual","","","","","",""
"5072","Hoodie Vic Promo Tour 2026","images/hoddies_fmd/vic_promo_tour_2026.jpg","hoodie","Hoodies FMD","megadeth-card-5072","vic_rattlehead","","","vic","false","Revisar sección propuesta: vic_rattlehead","","","","","",""
"5073","Hoodie Vic Digital DLB","images/hoddies_fmd/vic_digital_dlb.jpg","hoodie","Hoodies FMD","megadeth-card-5073","vic_rattlehead","","","vic","false","Revisar sección propuesta: vic_rattlehead","","","","","",""
"5074","Hoodie Merch Tour V1","images/tours/merch tour this was our life 2026/hoodies/merch_tour_v1.jpg","hoodie","Hoodies FMD","megadeth-card-5074","tours","","","tour","false","Revisar sección propuesta: tours","","","","","",""
"5075","Hoodie Vic Militar","images/hoddies_fmd/vic_militar_hoodie.png","hoodie","Hoodies FMD","megadeth-vic-militar","vic_rattlehead","","","vic","true","Revisar sección propuesta: vic_rattlehead. Familia relacionada detectada: megadeth-vic-militar; no fusionar automáticamente","","","","","",""
"5076","Hoodie Guitarra Argentina","images/hoddies_fmd/guitarra_argentina.png","hoodie","Hoodies FMD","megadeth-guitarra-argentina","dave_mustaine","","","dave","true","Familia relacionada detectada: megadeth-guitarra-argentina; no fusionar automáticamente","","","","","",""
"7001","Buzo Rust in Peace FMD","images/buzos cuello redondo/megadeth_rust_in_peace_original_fmd.jpg","buzo_cuello_redondo","Buzo Cuello Redondo","megadeth-rust-in-peace","original_fmd","Rust in Peace","1990","original_fmd","true","Revisar sección propuesta: original_fmd. Familia relacionada detectada: megadeth-rust-in-peace; no fusionar automáticamente","","","","","",""
"7002","Buzo Rust in Peace","images/buzos cuello redondo/megadeth_rust_in_peace.jpg","buzo_cuello_redondo","Buzo Cuello Redondo","megadeth-rust-in-peace","albums","Rust in Peace","1990","other","true","Revisar sección propuesta: albums. Familia relacionada detectada: megadeth-rust-in-peace; no fusionar automáticamente","","","","","",""
"7003","Buzo Rust Formation FMD","images/buzos cuello redondo/megadeth_rust_formation_original_fmd.jpg","buzo_cuello_redondo","Buzo Cuello Redondo","megadeth-card-7003","original_fmd","Rust in Peace","1990","original_fmd","false","Revisar sección propuesta: original_fmd","","","","","",""
"7004","Buzo Countdown to Extinction FMD","images/buzos cuello redondo/megadeth_countdown_original_fmd.jpg","buzo_cuello_redondo","Buzo Cuello Redondo","megadeth-countdown-to-extinction","original_fmd","Countdown to Extinction","1992","original_fmd","true","Revisar sección propuesta: original_fmd. Familia relacionada detectada: megadeth-countdown-to-extinction; no fusionar automáticamente","","","","","",""
"7005","Buzo Killing is My Business FMD","images/buzos cuello redondo/megadeth_killing_original_fmd.jpg","buzo_cuello_redondo","Buzo Cuello Redondo","megadeth-card-7005","original_fmd","Killing Is My Business... and Business Is Good!","1985","original_fmd","false","Revisar sección propuesta: original_fmd","","","","","",""
"7006","Buzo So Far So Good FMD","images/buzos cuello redondo/megadeth_sfsgsw_fmd.jpg","buzo_cuello_redondo","Buzo Cuello Redondo","megadeth-so-far-so-good","original_fmd","So Far, So Good... So What!","1988","original_fmd","true","Revisar sección propuesta: original_fmd. Familia relacionada detectada: megadeth-so-far-so-good; no fusionar automáticamente","","","","","",""
"7007","Buzo Youthanasia FMD","images/buzos cuello redondo/megadeth_youthanasia_original_fmd.jpg","buzo_cuello_redondo","Buzo Cuello Redondo","megadeth-youthanasia","original_fmd","Youthanasia","1994","original_fmd","true","Revisar sección propuesta: original_fmd. Familia relacionada detectada: megadeth-youthanasia; no fusionar automáticamente","","","","","",""
"7008","Buzo Dave Mustaine FMD","images/buzos cuello redondo/megadeth_dave_mustainejpg.jpg","buzo_cuello_redondo","Buzo Cuello Redondo","megadeth-card-7008","dave_mustaine","","","dave","false","Revisar sección propuesta: dave_mustaine","","","","","",""
"7009","Buzo Guitarra Argentina FMD","images/buzos cuello redondo/megadeth_guitar_arg_fmd.jpg","buzo_cuello_redondo","Buzo Cuello Redondo","megadeth-guitarra-argentina","original_fmd","","","original_fmd","true","Revisar sección propuesta: original_fmd. Familia relacionada detectada: megadeth-guitarra-argentina; no fusionar automáticamente","","","","","",""
"7010","Buzo Tour FMD","images/buzos cuello redondo/megadeth_tour_fmd.jpg","buzo_cuello_redondo","Buzo Cuello Redondo","megadeth-tour","tours","","","tour","true","Revisar sección propuesta: tours. Familia relacionada detectada: megadeth-tour; no fusionar automáticamente","","","","","",""
"7014","Buzo Megadeth Blanco FMD","images/buzos cuello redondo/megadeth_blanco.jpg","buzo_cuello_redondo","Buzo Cuello Redondo","megadeth-megadeth-blanco","original_fmd","","","original_fmd","true","Revisar sección propuesta: original_fmd. Familia relacionada detectada: megadeth-megadeth-blanco; no fusionar automáticamente","","","","","",""
