id,name,band,universe,album,garments,collections,campaigns,commercialPriority,visibilityTier,legacyCategory
"5034","Iron Maiden The Book","Iron Maiden","Heavy Metal Classics","The Book of Souls","remera","Archivo Maiden; The Book of Souls","-","68","catalog","Iron Maiden"
"5035","Iron Maiden Brave","Iron Maiden","Heavy Metal Classics","Brave New World","remera","Archivo Maiden; Brave New World","-","68","catalog","Iron Maiden"
"5036","Iron Maiden Killers","Iron Maiden","Heavy Metal Classics","Killers","remera","Archivo Maiden; Killers","-","79","featured","Iron Maiden"
"5037","Iron Maiden Somewhere","Iron Maiden","Heavy Metal Classics","Somewhere in Time","remera","Archivo Maiden; Somewhere in Time","-","68","catalog","Iron Maiden"
"5038","Iron Maiden Fear","Iron Maiden","Heavy Metal Classics","Fear of the Dark","remera","Archivo Maiden; Fear of the Dark","-","84","featured","Iron Maiden"
"6004","Hoodie Iron Maiden","Iron Maiden","Heavy Metal Classics","-","hoodie","Archivo Maiden","-","68","catalog","Hoodies Otras Bandas"
"6005","Hoodie Iron Maiden 666","Iron Maiden","Heavy Metal Classics","The Number of the Beast","hoodie","Archivo Maiden; The Number of the Beast","-","78","featured","Hoodies Otras Bandas"
"6006","Hoodie Iron Maiden Killers v1","Iron Maiden","Heavy Metal Classics","Killers","hoodie","Archivo Maiden; Killers","-","77","featured","Hoodies Otras Bandas"
"6007","Hoodie Iron Maiden Killers v2","Iron Maiden","Heavy Metal Classics","Killers","hoodie","Archivo Maiden; Killers","-","77","featured","Hoodies Otras Bandas"
"7011","Buzo Iron Maiden FMD","Iron Maiden","Heavy Metal Classics; FMD Editions","-","buzo_cuello_redondo","Buzos Cuello Redondo; Invierno 2026; Archivo Maiden; FMD Editions","-","68","catalog","Buzo Cuello Redondo"
"7012","Buzo Iron Maiden After Death FMD","Iron Maiden","Heavy Metal Classics; FMD Editions","Live After Death","buzo_cuello_redondo","Buzos Cuello Redondo; Invierno 2026; Archivo Maiden; Live After Death; FMD Editions","-","80","featured","Buzo Cuello Redondo"
"7013","Buzo Iron Maiden Tour FMD","Iron Maiden","Heavy Metal Classics; FMD Editions","-","buzo_cuello_redondo","Buzos Cuello Redondo; Invierno 2026; Archivo Maiden; FMD Editions; Tour Archive","Tour 2026","83","featured","Buzo Cuello Redondo"
"7016","Iron Maiden Eddie Argentina V2 FMD","Iron Maiden","Heavy Metal Classics; FMD Editions","-","remera","Eddie Argentina; Archivo Maiden; FMD Editions; Eddie","Argentina 2026","81","featured","Iron Maiden"
"7017","Iron Maiden Fmd Eddie FMD","Iron Maiden","Heavy Metal Classics; FMD Editions","-","remera","Originales FMD; Archivo Maiden; FMD Editions; Eddie","-","68","catalog","Iron Maiden"
"7018","Iron Maiden Fmd Eddie Bass FMD","Iron Maiden","Heavy Metal Classics; FMD Editions","-","remera","Originales FMD; Archivo Maiden; FMD Editions; Eddie","-","68","catalog","Iron Maiden"
"7019","Iron Maiden Fmd Eddie Circular FMD","Iron Maiden","Heavy Metal Classics; FMD Editions","-","remera","Originales FMD; Archivo Maiden; FMD Editions; Eddie","-","68","catalog","Iron Maiden"
"7020","Iron Maiden Fmd Eddie La Momia FMD","Iron Maiden","Heavy Metal Classics; FMD Editions","-","remera","Originales FMD; Archivo Maiden; FMD Editions; Eddie","-","68","catalog","Iron Maiden"
"7021","Iron Maiden Fmd Eddie Run For FMD","Iron Maiden","Heavy Metal Classics; FMD Editions","The Number of the Beast","remera","Originales FMD; Archivo Maiden; The Number of the Beast; FMD Editions; Eddie","-","82","featured","Iron Maiden"
"7022","Iron Maiden Fmd Fear Of The Dark FMD","Iron Maiden","Heavy Metal Classics; FMD Editions","Fear of the Dark","remera","Originales FMD; Archivo Maiden; Fear of the Dark; FMD Editions","-","80","featured","Iron Maiden"
"7024","Iron Maiden Fmd Killers V2 FMD","Iron Maiden","Heavy Metal Classics; FMD Editions","Killers","remera","Originales FMD; Archivo Maiden; Killers; FMD Editions","-","78","featured","Iron Maiden"
"7026","Iron Maiden Fmd Powerslave FMD","Iron Maiden","Heavy Metal Classics; FMD Editions","Powerslave","remera","Originales FMD; Archivo Maiden; Powerslave; FMD Editions","-","83","featured","Iron Maiden"
"7027","Iron Maiden Fmd Somewhere In Time FMD","Iron Maiden","Heavy Metal Classics; FMD Editions","Somewhere in Time","remera","Originales FMD; Archivo Maiden; Somewhere in Time; FMD Editions","-","80","featured","Iron Maiden"
"7028","Iron Maiden Fmd The Book FMD","Iron Maiden","Heavy Metal Classics; FMD Editions","The Book of Souls","remera","Originales FMD; Archivo Maiden; The Book of Souls; FMD Editions","-","78","featured","Iron Maiden"
"7031","Iron Maiden Tour Merch V1 FMD","Iron Maiden","Heavy Metal Classics; FMD Editions","-","remera","World Tour 2026; Archivo Maiden; FMD Editions; Tour Archive","Tour 2026","85","featured","Iron Maiden"
"7032","Iron Maiden Tour Merch V2 FMD","Iron Maiden","Heavy Metal Classics; FMD Editions","-","remera","World Tour 2026; Archivo Maiden; FMD Editions; Tour Archive","Tour 2026","85","featured","Iron Maiden"
"7033","Iron Maiden Tour Merch V3 FMD","Iron Maiden","Heavy Metal Classics; FMD Editions","-","remera","World Tour 2026; Archivo Maiden; FMD Editions; Tour Archive","Tour 2026","85","featured","Iron Maiden"
"1062","...And Justice for All","Metallica","Thrash Metal; Heavy Metal Classics","...And Justice for All","remera","Metallica Archive; ...And Justice for All","-","82","featured","Metallica"
"1063","Metallica Early Years","Metallica","Thrash Metal; Heavy Metal Classics","-","remera","Metallica Archive","-","68","catalog","Metallica"
"46","Dimebag Darrell BN","Pantera","Groove Metal; Heavy Metal Classics","-","remera","Pantera Archive; Dimebag Darrell","-","62","catalog","Pantera"
"48","Dimebag Darrell Guitar Gold","Pantera","Groove Metal; Heavy Metal Classics","-","remera","Pantera Archive; Dimebag Darrell","-","62","catalog","Pantera"
"323","Dimebag Tribute Edition v1","Pantera","Groove Metal; Heavy Metal Classics","-","remera","Pantera Archive; Dimebag Darrell","-","62","catalog","Pantera"
"324","Dime CFH Fuego Edition","Pantera","Groove Metal; Heavy Metal Classics","Cowboys from Hell","remera","Pantera Archive; Cowboys from Hell; Dimebag Darrell","-","76","featured","Pantera"
"326","Dimebag Darrell Abbott White","Pantera","Groove Metal; Heavy Metal Classics","-","remera","Pantera Archive; Dimebag Darrell","-","62","catalog","Pantera"
"327","Dimebag Darrell Homenaje","Pantera","Groove Metal; Heavy Metal Classics","-","remera","Pantera Archive; Dimebag Darrell","-","62","catalog","Pantera"
"328","Pantera 101 Live","Pantera","Groove Metal; Heavy Metal Classics","Official Live: 101 Proof","remera","Pantera Archive; Official Live: 101 Proof","-","75","featured","Pantera"
"329","Pantera Darrell v2","Pantera","Groove Metal; Heavy Metal Classics","-","remera","Pantera Archive; Dimebag Darrell","-","62","catalog","Pantera"
