id,operation,name,band,universe,album,garments,collections,campaigns,commercialPriority,visibilityTier,legacyCategory,tags
"5057","full-migration","Hoodie Killing Original","Megadeth","Megadeth Vault; Thrash Metal","Killing Is My Business... and Business Is Good!","hoodie","Megadeth Archive; Killing Is My Business... and Business Is Good!","-","78","featured","Hoodies FMD","Megadeth; Megadeth Vault; Thrash Metal; Killing Is My Business... and Business Is Good!; hoodie; Megadeth Archive"
"5061","full-migration","Hoodie Peace Sells","Megadeth","Megadeth Vault; Thrash Metal","Peace Sells... but Who's Buying?","hoodie","Megadeth Archive; Peace Sells... but Who's Buying?","-","78","featured","Hoodies FMD","Megadeth; Megadeth Vault; Thrash Metal; Peace Sells... but Who's Buying?; hoodie; Megadeth Archive"
"5056","full-migration","Hoodie Dave SFSGSW Era","Megadeth","Megadeth Vault; Thrash Metal","So Far, So Good... So What!","hoodie","Megadeth Archive; So Far, So Good... So What!","-","64","catalog","Hoodies FMD","Megadeth; Megadeth Vault; Thrash Metal; So Far, So Good... So What!; hoodie; Megadeth Archive"
"5062","full-migration","Hoodie Rust in Peace","Megadeth","Megadeth Vault; Thrash Metal","Rust in Peace","hoodie","Megadeth Archive; Rust in Peace","-","78","featured","Hoodies FMD","Megadeth; Megadeth Vault; Thrash Metal; Rust in Peace; hoodie; Megadeth Archive"
"5071","full-migration","Hoodie Rust in Peace 1990","Megadeth","Megadeth Vault; Thrash Metal","Rust in Peace","hoodie","Megadeth Archive; Rust in Peace","-","78","featured","Hoodies FMD","Megadeth; Megadeth Vault; Thrash Metal; Rust in Peace; hoodie; Megadeth Archive"
"5055","full-migration","Hoodie Countdown","Megadeth","Megadeth Vault; Thrash Metal","Countdown to Extinction","hoodie","Megadeth Archive; Countdown to Extinction","-","78","featured","Hoodies FMD","Megadeth; Megadeth Vault; Thrash Metal; Countdown to Extinction; hoodie; Megadeth Archive"
"5064","full-migration","Hoodie Youthanasia","Megadeth","Megadeth Vault; Thrash Metal","Youthanasia","hoodie","Megadeth Archive; Youthanasia","-","78","featured","Hoodies FMD","Megadeth; Megadeth Vault; Thrash Metal; Youthanasia; hoodie; Megadeth Archive"
"5065","full-migration","Hoodie Cryptic Writings","Megadeth","Megadeth Vault; Thrash Metal","Cryptic Writings","hoodie","Megadeth Archive; Cryptic Writings","-","78","featured","Hoodies FMD","Megadeth; Megadeth Vault; Thrash Metal; Cryptic Writings; hoodie; Megadeth Archive"
"5066","full-migration","Hoodie Dystopia","Megadeth","Megadeth Vault; Thrash Metal","Dystopia","hoodie","Megadeth Archive; Dystopia","-","78","featured","Hoodies FMD","Megadeth; Megadeth Vault; Thrash Metal; Dystopia; hoodie; Megadeth Archive"
"5059","full-migration","Hoodie Megadeth Final","Megadeth","Megadeth Vault; Thrash Metal","-","hoodie","Megadeth Archive","-","78","featured","Hoodies FMD","Megadeth; Megadeth Vault; Thrash Metal; hoodie; Megadeth Archive"
"5060","full-migration","Hoodie Megadeth Blanco","Megadeth","Megadeth Vault; Thrash Metal","-","hoodie","Megadeth Archive","-","78","featured","Hoodies FMD","Megadeth; Megadeth Vault; Thrash Metal; hoodie; Megadeth Archive"
"5063","full-migration","Hoodie Vic Father","Megadeth","Megadeth Vault; Thrash Metal","-","hoodie","Megadeth Archive","-","64","catalog","Hoodies FMD","Megadeth; Megadeth Vault; Thrash Metal; hoodie; Megadeth Archive"
"5067","full-migration","Hoodie Made to Kill","Megadeth","Megadeth Vault; Thrash Metal","-","hoodie","Megadeth Archive","-","64","catalog","Hoodies FMD","Megadeth; Megadeth Vault; Thrash Metal; hoodie; Megadeth Archive"
"5068","full-migration","Hoodie I Don't Care","Megadeth","Megadeth Vault; Thrash Metal","-","hoodie","Megadeth Archive","-","64","catalog","Hoodies FMD","Megadeth; Megadeth Vault; Thrash Metal; hoodie; Megadeth Archive"
"5069","full-migration","Hoodie Let There Be Shred","Megadeth","Megadeth Vault; Thrash Metal","-","hoodie","Megadeth Archive","-","64","catalog","Hoodies FMD","Megadeth; Megadeth Vault; Thrash Metal; hoodie; Megadeth Archive"
"5070","full-migration","Hoodie Tipping Point","Megadeth","Megadeth Vault; Thrash Metal","-","hoodie","Megadeth Archive","-","64","catalog","Hoodies FMD","Megadeth; Megadeth Vault; Thrash Metal; hoodie; Megadeth Archive"
"5072","full-migration","Hoodie Vic Promo Tour 2026","Megadeth","Megadeth Vault; Thrash Metal","-","hoodie","Megadeth Archive; Tour Archive","Tour Archive","78","featured","Hoodies FMD","Megadeth; Megadeth Vault; Thrash Metal; hoodie; Megadeth Archive; Tour Archive"
"5073","full-migration","Hoodie Vic Digital DLB","Megadeth","Megadeth Vault; Thrash Metal","-","hoodie","Megadeth Archive","-","64","catalog","Hoodies FMD","Megadeth; Megadeth Vault; Thrash Metal; hoodie; Megadeth Archive"
"5074","full-migration","Hoodie Merch Tour V1","Megadeth","Megadeth Vault; Thrash Metal","-","hoodie","Megadeth Archive; Tour Archive","Tour Archive","78","featured","Hoodies FMD","Megadeth; Megadeth Vault; Thrash Metal; hoodie; Megadeth Archive; Tour Archive"
"5075","full-migration","Hoodie Vic Militar","Megadeth","Megadeth Vault; Thrash Metal","-","hoodie","Megadeth Archive","-","64","catalog","Hoodies FMD","Megadeth; Megadeth Vault; Thrash Metal; hoodie; Megadeth Archive"
"5076","full-migration","Hoodie Guitarra Argentina","Megadeth","Megadeth Vault; Thrash Metal","-","hoodie","Megadeth Archive; Tour Archive","Argentina 2026","64","catalog","Hoodies FMD","Megadeth; Megadeth Vault; Thrash Metal; hoodie; Megadeth Archive; Tour Archive; Argentina 2026"
"7001","full-migration","Buzo Rust in Peace FMD","Megadeth","Megadeth Vault; Thrash Metal; FMD Editions","Rust in Peace","buzo_cuello_redondo","Buzos Cuello Redondo; Invierno 2026; Megadeth Archive; Rust in Peace; FMD Editions","-","78","featured","Buzo Cuello Redondo","Megadeth; Megadeth Vault; Thrash Metal; FMD Editions; Rust in Peace; buzo_cuello_redondo; Megadeth Archive"
"7002","full-migration","Buzo Rust in Peace","Megadeth","Megadeth Vault; Thrash Metal","Rust in Peace","buzo_cuello_redondo","Buzos Cuello Redondo; Invierno 2026; Megadeth Archive; Rust in Peace","-","78","featured","Buzo Cuello Redondo","Megadeth; Megadeth Vault; Thrash Metal; Rust in Peace; buzo_cuello_redondo; Megadeth Archive"
"7003","full-migration","Buzo Rust Formation FMD","Megadeth","Megadeth Vault; Thrash Metal; FMD Editions","Rust in Peace","buzo_cuello_redondo","Buzos Cuello Redondo; Invierno 2026; Megadeth Archive; Rust in Peace; FMD Editions","-","78","featured","Buzo Cuello Redondo","Megadeth; Megadeth Vault; Thrash Metal; FMD Editions; Rust in Peace; buzo_cuello_redondo; Megadeth Archive"
"7004","full-migration","Buzo Countdown to Extinction FMD","Megadeth","Megadeth Vault; Thrash Metal; FMD Editions","Countdown to Extinction","buzo_cuello_redondo","Buzos Cuello Redondo; Invierno 2026; Megadeth Archive; Countdown to Extinction; FMD Editions","-","78","featured","Buzo Cuello Redondo","Megadeth; Megadeth Vault; Thrash Metal; FMD Editions; Countdown to Extinction; buzo_cuello_redondo; Megadeth Archive"
"7005","full-migration","Buzo Killing is My Business FMD","Megadeth","Megadeth Vault; Thrash Metal; FMD Editions","Killing Is My Business... and Business Is Good!","buzo_cuello_redondo","Buzos Cuello Redondo; Invierno 2026; Megadeth Archive; Killing Is My Business... and Business Is Good!; FMD Editions","-","78","featured","Buzo Cuello Redondo","Megadeth; Megadeth Vault; Thrash Metal; FMD Editions; Killing Is My Business... and Business Is Good!; buzo_cuello_redondo; Megadeth Archive"
"7006","full-migration","Buzo So Far So Good FMD","Megadeth","Megadeth Vault; Thrash Metal; FMD Editions","So Far, So Good... So What!","buzo_cuello_redondo","Buzos Cuello Redondo; Invierno 2026; Megadeth Archive; So Far, So Good... So What!; FMD Editions","-","78","featured","Buzo Cuello Redondo","Megadeth; Megadeth Vault; Thrash Metal; FMD Editions; So Far, So Good... So What!; buzo_cuello_redondo; Megadeth Archive"
"7007","full-migration","Buzo Youthanasia FMD","Megadeth","Megadeth Vault; Thrash Metal; FMD Editions","Youthanasia","buzo_cuello_redondo","Buzos Cuello Redondo; Invierno 2026; Megadeth Archive; Youthanasia; FMD Editions","-","78","featured","Buzo Cuello Redondo","Megadeth; Megadeth Vault; Thrash Metal; FMD Editions; Youthanasia; buzo_cuello_redondo; Megadeth Archive"
"7008","full-migration","Buzo Dave Mustaine FMD","Megadeth","Megadeth Vault; Thrash Metal; FMD Editions","-","buzo_cuello_redondo","Buzos Cuello Redondo; Invierno 2026; Megadeth Archive; FMD Editions","-","64","catalog","Buzo Cuello Redondo","Megadeth; Megadeth Vault; Thrash Metal; FMD Editions; buzo_cuello_redondo; Megadeth Archive"
"7009","full-migration","Buzo Guitarra Argentina FMD","Megadeth","Megadeth Vault; Thrash Metal; FMD Editions","-","buzo_cuello_redondo","Buzos Cuello Redondo; Invierno 2026; Megadeth Archive; FMD Editions; Tour Archive","Argentina 2026","64","catalog","Buzo Cuello Redondo","Megadeth; Megadeth Vault; Thrash Metal; FMD Editions; buzo_cuello_redondo; Megadeth Archive; Tour Archive; Argentina 2026"
"7010","full-migration","Buzo Tour FMD","Megadeth","Megadeth Vault; Thrash Metal; FMD Editions","-","buzo_cuello_redondo","Buzos Cuello Redondo; Invierno 2026; Megadeth Archive; FMD Editions; Tour Archive","Tour Archive","78","featured","Buzo Cuello Redondo","Megadeth; Megadeth Vault; Thrash Metal; FMD Editions; buzo_cuello_redondo; Megadeth Archive; Tour Archive"
"7014","full-migration","Buzo Megadeth Blanco FMD","Megadeth","Megadeth Vault; Thrash Metal; FMD Editions","-","buzo_cuello_redondo","Buzos Cuello Redondo; Invierno 2026; Megadeth Archive; FMD Editions","-","64","catalog","Buzo Cuello Redondo","Megadeth; Megadeth Vault; Thrash Metal; FMD Editions; buzo_cuello_redondo; Megadeth Archive"
"5077","tags-backfill","Hoodie Rusted Pieces","Megadeth","Megadeth Vault; Thrash Metal; FMD Editions","-","hoodie","Original FMD; Invierno 2026","Invierno 2026","84","featured","Hoodies FMD","Megadeth; Megadeth Vault; Thrash Metal; FMD Editions; hoodie; Original FMD; Invierno 2026"
"302","tags-backfill","AC/DC Money Talks","AC/DC","Rock Legends; Heavy Metal Classics","The Razors Edge","remera","AC/DC Archive; The Razors Edge","-","78","featured","AC/DC","AC/DC; Rock Legends; Heavy Metal Classics; The Razors Edge; remera; AC/DC Archive"
"303","tags-backfill","AC/DC Angus PWRD UP","AC/DC","Rock Legends; Heavy Metal Classics","Power Up","remera","AC/DC Archive; Power Up; Angus Young","-","80","featured","AC/DC","AC/DC; Rock Legends; Heavy Metal Classics; Power Up; remera; AC/DC Archive; Angus Young"
"5101","tags-backfill","AC/DC Holy Shit","AC/DC","Rock Legends; Heavy Metal Classics","-","remera","AC/DC Archive; FMD Editions","-","74","catalog","AC/DC","AC/DC; Rock Legends; Heavy Metal Classics; remera; AC/DC Archive; FMD Editions"
"1","tags-backfill","Killing Is my bussines","Megadeth","Megadeth Vault; Thrash Metal; FMD Editions","Killing Is My Business... and Business Is Good!","remera; buzo_cuello_redondo","Megadeth Albums; FMD Editions","-","88","featured","Album","Megadeth; Megadeth Vault; Thrash Metal; FMD Editions; Killing Is My Business... and Business Is Good!; remera; buzo_cuello_redondo; Megadeth Albums"
"2","tags-backfill","Peace Sells","Megadeth","Megadeth Vault; Thrash Metal; FMD Editions","Peace Sells... but Who's Buying?","remera","Megadeth Albums; FMD Editions","-","87","featured","Album","Megadeth; Megadeth Vault; Thrash Metal; FMD Editions; Peace Sells... but Who's Buying?; remera; Megadeth Albums"
"4","tags-backfill","Rust in Peace","Megadeth","Megadeth Vault; Thrash Metal; FMD Editions","Rust in Peace","remera","Megadeth Albums; FMD Editions","-","89","featured","Album","Megadeth; Megadeth Vault; Thrash Metal; FMD Editions; Rust in Peace; remera; Megadeth Albums"
"46","tags-backfill","Dimebag Darrell BN","Pantera","Groove Metal; Heavy Metal Classics","-","remera","Pantera Archive; Dimebag Darrell","-","62","catalog","Pantera","Pantera; Groove Metal; Heavy Metal Classics; remera; Pantera Archive; Dimebag Darrell"
"47","tags-backfill","Dimebag Darrell Color","Pantera","Groove Metal; Heavy Metal Classics","-","remera","Pantera Archive; Dimebag Darrell","-","68","catalog","Pantera","Pantera; Groove Metal; Heavy Metal Classics; remera; Pantera Archive; Dimebag Darrell"
"48","tags-backfill","Dimebag Darrell Guitar Gold","Pantera","Groove Metal; Heavy Metal Classics","-","remera","Pantera Archive; Dimebag Darrell","-","62","catalog","Pantera","Pantera; Groove Metal; Heavy Metal Classics; remera; Pantera Archive; Dimebag Darrell"
"323","tags-backfill","Dimebag Tribute Edition v1","Pantera","Groove Metal; Heavy Metal Classics","-","remera","Pantera Archive; Dimebag Darrell","-","62","catalog","Pantera","Pantera; Groove Metal; Heavy Metal Classics; remera; Pantera Archive; Dimebag Darrell"
"324","tags-backfill","Dime CFH Fuego Edition","Pantera","Groove Metal; Heavy Metal Classics","Cowboys from Hell","remera","Pantera Archive; Cowboys from Hell; Dimebag Darrell","-","76","featured","Pantera","Pantera; Groove Metal; Heavy Metal Classics; Cowboys from Hell; remera; Pantera Archive; Dimebag Darrell"
"326","tags-backfill","Dimebag Darrell Abbott White","Pantera","Groove Metal; Heavy Metal Classics","-","remera","Pantera Archive; Dimebag Darrell","-","62","catalog","Pantera","Pantera; Groove Metal; Heavy Metal Classics; remera; Pantera Archive; Dimebag Darrell"
"327","tags-backfill","Dimebag Darrell Homenaje","Pantera","Groove Metal; Heavy Metal Classics","-","remera","Pantera Archive; Dimebag Darrell","-","62","catalog","Pantera","Pantera; Groove Metal; Heavy Metal Classics; remera; Pantera Archive; Dimebag Darrell"
"328","tags-backfill","Pantera 101 Live","Pantera","Groove Metal; Heavy Metal Classics","Official Live: 101 Proof","remera","Pantera Archive; Official Live: 101 Proof","-","75","featured","Pantera","Pantera; Groove Metal; Heavy Metal Classics; Official Live: 101 Proof; remera; Pantera Archive"
"329","tags-backfill","Pantera Darrell v2","Pantera","Groove Metal; Heavy Metal Classics","-","remera","Pantera Archive; Dimebag Darrell","-","62","catalog","Pantera","Pantera; Groove Metal; Heavy Metal Classics; remera; Pantera Archive; Dimebag Darrell"
"307","tags-backfill","Iron Maiden - Live After Death","Iron Maiden","Heavy Metal Classics","Live After Death","remera","Archivo Maiden; Live After Death","-","82","featured","Iron Maiden","Iron Maiden; Heavy Metal Classics; Live After Death; remera; Archivo Maiden"
"308","tags-backfill","Iron Maiden","Iron Maiden","Heavy Metal Classics","-","remera","Archivo Maiden","-","68","catalog","Iron Maiden","Iron Maiden; Heavy Metal Classics; remera; Archivo Maiden"
"7034","tags-backfill","Iron Maiden - Eddie v1","Iron Maiden","Heavy Metal Classics","-","remera","Archivo Maiden; Eddie","-","68","catalog","Iron Maiden","Iron Maiden; Heavy Metal Classics; remera; Archivo Maiden; Eddie"
"408","tags-backfill","Iron Maiden - Eddie v2","Iron Maiden","Heavy Metal Classics","-","remera","Archivo Maiden; Eddie","-","68","catalog","Iron Maiden","Iron Maiden; Heavy Metal Classics; remera; Archivo Maiden; Eddie"
"409","tags-backfill","Iron Maiden - Eddie v3","Iron Maiden","Heavy Metal Classics","-","remera","Archivo Maiden; Eddie","-","68","catalog","Iron Maiden","Iron Maiden; Heavy Metal Classics; remera; Archivo Maiden; Eddie"
"5125","tags-backfill","Iron Maiden - Eddie v4","Iron Maiden","Heavy Metal Classics","-","remera","Archivo Maiden; Eddie","-","68","catalog","Iron Maiden","Iron Maiden; Heavy Metal Classics; remera; Archivo Maiden; Eddie"
"5126","tags-backfill","Dimebag Darrell Live","Pantera","Groove Metal; Heavy Metal Classics","-","remera","Pantera Archive; Dimebag Darrell","-","64","catalog","Pantera","Pantera; Groove Metal; Heavy Metal Classics; remera; Pantera Archive; Dimebag Darrell"
"410","tags-backfill","Dimebag Logo Fuego","Pantera","Groove Metal; Heavy Metal Classics","-","remera","Pantera Archive; Dimebag Darrell","-","64","catalog","Pantera","Pantera; Groove Metal; Heavy Metal Classics; remera; Pantera Archive; Dimebag Darrell"
"411","tags-backfill","Guitar Dimebag","Pantera","Groove Metal; Heavy Metal Classics","-","remera","Pantera Archive; Dimebag Darrell","-","64","catalog","Pantera","Pantera; Groove Metal; Heavy Metal Classics; remera; Pantera Archive; Dimebag Darrell"
"412","tags-backfill","Pantera Art","Pantera","Groove Metal; Heavy Metal Classics","-","remera","Pantera Archive","-","64","catalog","Pantera","Pantera; Groove Metal; Heavy Metal Classics; remera; Pantera Archive"
"413","tags-backfill","Pantera Band v1","Pantera","Groove Metal; Heavy Metal Classics","-","remera","Pantera Archive","-","64","catalog","Pantera","Pantera; Groove Metal; Heavy Metal Classics; remera; Pantera Archive"
"414","tags-backfill","Pantera Snake v1","Pantera","Groove Metal; Heavy Metal Classics","-","remera","Pantera Archive","-","64","catalog","Pantera","Pantera; Groove Metal; Heavy Metal Classics; remera; Pantera Archive"
"415","tags-backfill","Pantera Snake v2","Pantera","Groove Metal; Heavy Metal Classics","-","remera","Pantera Archive","-","64","catalog","Pantera","Pantera; Groove Metal; Heavy Metal Classics; remera; Pantera Archive"
"417","tags-backfill","Phil Anselmo v1","Pantera","Groove Metal; Heavy Metal Classics","-","remera","Pantera Archive; Phil Anselmo","-","64","catalog","Pantera","Pantera; Groove Metal; Heavy Metal Classics; remera; Pantera Archive; Phil Anselmo"
"418","tags-backfill","Pantera Tour 2000","Pantera","Groove Metal; Heavy Metal Classics","-","remera","Pantera Archive; Tour Archive","-","72","catalog","Pantera","Pantera; Groove Metal; Heavy Metal Classics; remera; Pantera Archive; Tour Archive"
"4190","tags-backfill","Phil Emblem","Pantera","Groove Metal; Heavy Metal Classics","-","remera","Pantera Archive","-","64","catalog","Pantera","Pantera; Groove Metal; Heavy Metal Classics; remera; Pantera Archive"
"4191","tags-backfill","Vulgar FMD","Pantera","Groove Metal; Heavy Metal Classics; FMD Editions","Vulgar Display of Power","remera","Pantera Archive; Vulgar Display of Power; FMD Editions","-","78","featured","Pantera","Pantera; Groove Metal; Heavy Metal Classics; FMD Editions; Vulgar Display of Power; remera; Pantera Archive"
"60","tags-backfill","AC/DC Europe 84","AC/DC","Rock Legends; Heavy Metal Classics","-","remera","AC/DC Archive; Tour Archive","Tour Archive","64","catalog","AC/DC","AC/DC; Rock Legends; Heavy Metal Classics; remera; AC/DC Archive; Tour Archive"
"5118","tags-backfill","Almafuerte En Vida","Almafuerte","Argentina Heavy; Custom Archive","-","remera","Personalizados FMD","-","58","catalog","Personalizados","Almafuerte; Argentina Heavy; Custom Archive; remera; Personalizados FMD"
"310","tags-backfill","Amon Amarth","Amon Amarth","Modern Metal; Custom Archive","-","remera","Personalizados FMD","-","55","catalog","Personalizados","Amon Amarth; Modern Metal; Custom Archive; remera; Personalizados FMD"
"432","tags-backfill","Down","Down","Groove Metal; Custom Archive","-","remera","Personalizados FMD","-","56","catalog","Personalizados","Down; Groove Metal; Custom Archive; remera; Personalizados FMD"
"51","tags-backfill","Flema","Flema","Custom Archive","-","remera","Personalizados FMD","-","56","catalog","Personalizados","Flema; Custom Archive; remera; Personalizados FMD"
"5119","tags-backfill","Herm̩tica","Hermetica","Argentina Heavy; Custom Archive","-","remera","Personalizados FMD","-","56","catalog","Personalizados","Hermetica; Argentina Heavy; Custom Archive; remera; Personalizados FMD"
"305","tags-backfill","John Petrucci","Dream Theater","Modern Metal; Custom Archive","-","remera","Personalizados FMD","-","56","catalog","Personalizados","Dream Theater; Modern Metal; Custom Archive; remera; Personalizados FMD"
"5120","tags-backfill","Judas Priest","Judas Priest","Heavy Metal Classics; Custom Archive","-","remera","Personalizados FMD","-","62","catalog","Personalizados","Judas Priest; Heavy Metal Classics; Custom Archive; remera; Personalizados FMD"
"41","tags-backfill","Kurt Nirvana","Nirvana","Rock Legends; Custom Archive","-","remera","Personalizados FMD","-","56","catalog","Personalizados","Nirvana; Rock Legends; Custom Archive; remera; Personalizados FMD"
"62","tags-backfill","Lemmy Stone Deaf Forever","Motorhead","Heavy Metal Classics; Rock Legends; Custom Archive","-","remera","Personalizados FMD","-","56","catalog","Personalizados","Motorhead; Heavy Metal Classics; Rock Legends; Custom Archive; remera; Personalizados FMD"
"63","tags-backfill","Motorhead","Motorhead","Heavy Metal Classics; Rock Legends; Custom Archive","-","remera","Personalizados FMD","-","56","catalog","Personalizados","Motorhead; Heavy Metal Classics; Rock Legends; Custom Archive; remera; Personalizados FMD"
"59","tags-backfill","Primal Fear","Primal Fear","Heavy Metal Classics; Custom Archive","-","remera","Personalizados FMD","-","56","catalog","Personalizados","Primal Fear; Heavy Metal Classics; Custom Archive; remera; Personalizados FMD"
"54","tags-backfill","Saltatio Mortis","Saltatio Mortis","Modern Metal; Custom Archive","-","remera","Personalizados FMD","-","56","catalog","Personalizados","Saltatio Mortis; Modern Metal; Custom Archive; remera; Personalizados FMD"
"43","tags-backfill","Symphony X","Symphony X","Modern Metal; Custom Archive","-","remera","Personalizados FMD","-","56","catalog","Personalizados","Symphony X; Modern Metal; Custom Archive; remera; Personalizados FMD"
"57","tags-backfill","The Ramones","Ramones","Rock Legends; Custom Archive","-","remera","Personalizados FMD","-","56","catalog","Personalizados","Ramones; Rock Legends; Custom Archive; remera; Personalizados FMD"
"58","tags-backfill","WASP","WASP","Heavy Metal Classics; Custom Archive","-","remera","Personalizados FMD","-","60","catalog","Personalizados","WASP; Heavy Metal Classics; Custom Archive; remera; Personalizados FMD"
"322","tags-backfill","WASP v2","WASP","Heavy Metal Classics; Custom Archive","-","remera","Personalizados FMD","-","56","catalog","Personalizados","WASP; Heavy Metal Classics; Custom Archive; remera; Personalizados FMD"
"53","tags-backfill","Wintersun","Wintersun","Modern Metal; Custom Archive","-","remera","Personalizados FMD","-","56","catalog","Personalizados","Wintersun; Modern Metal; Custom Archive; remera; Personalizados FMD"
"5130","tags-backfill","Kanonenfiebe Argentina","Kanonenfieber","Modern Metal; Custom Archive","-","remera","Personalizados FMD","Argentina 2026","56","catalog","Personalizados","Kanonenfieber; Modern Metal; Custom Archive; remera; Personalizados FMD; Argentina 2026"
"1059","tags-backfill","Kill 'Em All","Metallica","Thrash Metal; Heavy Metal Classics","Kill 'Em All","remera","Metallica Albums","-","76","featured","Metallica","Metallica; Thrash Metal; Heavy Metal Classics; Kill 'Em All; remera; Metallica Albums"
"1060","tags-backfill","Ride the Lightning","Metallica","Thrash Metal; Heavy Metal Classics","Ride the Lightning","remera","Metallica Albums","-","80","featured","Metallica","Metallica; Thrash Metal; Heavy Metal Classics; Ride the Lightning; remera; Metallica Albums"
