id,name,band,universe,album,garments,collections,campaigns,commercialPriority,visibilityTier,legacyCategory
"2002","Avenged Sevenfold Dorsos","Avenged Sevenfold","Modern Metal","-","remera","Avenged Sevenfold Archive","-","78","featured","Avenged Sevenfold"
"5003","Black Sabbath","Black Sabbath","Heavy Metal Classics; Rock Legends","-","remera","Black Sabbath Archive","-","82","featured","Bandas Sugeridas"
"6018","Hoodie Black Sabbath The End","Black Sabbath","Heavy Metal Classics; Rock Legends","-","hoodie","Black Sabbath Archive","-","78","featured","Hoodies Otras Bandas"
"6019","Hoodie Black Sabbath Tour","Black Sabbath","Heavy Metal Classics; Rock Legends","-","hoodie","Black Sabbath Archive; Tour Archive","Tour Archive","77","featured","Hoodies Otras Bandas"
"5017","Sodom - Agent Orange","Sodom","Thrash Metal","Agent Orange","remera","Sodom Archive; Agent Orange","-","76","featured","Bandas Sugeridas"
"5117","Sodom - Logo","Sodom","Thrash Metal","-","remera","Sodom Archive","-","64","catalog","Bandas Sugeridas"
"5123","Testament","Testament","Thrash Metal","-","remera","Testament Archive","-","76","featured","Bandas Sugeridas"
"5006","Gojira","Gojira","Modern Metal","-","remera","Gojira Archive","-","78","featured","Bandas Sugeridas"
"432","Down","Down","Groove Metal; Custom Archive","-","remera","Personalizados FMD","-","56","catalog","Personalizados"
"51","Flema","Flema","Custom Archive","-","remera","Personalizados FMD","-","56","catalog","Personalizados"
"5119","Herm̩tica","Hermetica","Argentina Heavy; Custom Archive","-","remera","Personalizados FMD","-","56","catalog","Personalizados"
"305","John Petrucci","Dream Theater","Modern Metal; Custom Archive","-","remera","Personalizados FMD","-","56","catalog","Personalizados"
"41","Kurt Nirvana","Nirvana","Rock Legends; Custom Archive","-","remera","Personalizados FMD","-","56","catalog","Personalizados"
"62","Lemmy Stone Deaf Forever","Motorhead","Heavy Metal Classics; Rock Legends; Custom Archive","-","remera","Personalizados FMD","-","56","catalog","Personalizados"
"63","Motorhead","Motorhead","Heavy Metal Classics; Rock Legends; Custom Archive","-","remera","Personalizados FMD","-","56","catalog","Personalizados"
"59","Primal Fear","Primal Fear","Heavy Metal Classics; Custom Archive","-","remera","Personalizados FMD","-","56","catalog","Personalizados"
"54","Saltatio Mortis","Saltatio Mortis","Modern Metal; Custom Archive","-","remera","Personalizados FMD","-","56","catalog","Personalizados"
"43","Symphony X","Symphony X","Modern Metal; Custom Archive","-","remera","Personalizados FMD","-","56","catalog","Personalizados"
"57","The Ramones","Ramones","Rock Legends; Custom Archive","-","remera","Personalizados FMD","-","56","catalog","Personalizados"
"322","WASP v2","WASP","Heavy Metal Classics; Custom Archive","-","remera","Personalizados FMD","-","56","catalog","Personalizados"
"53","Wintersun","Wintersun","Modern Metal; Custom Archive","-","remera","Personalizados FMD","-","56","catalog","Personalizados"
"5130","Kanonenfiebe Argentina","Kanonenfieber","Modern Metal; Custom Archive","-","remera","Personalizados FMD","Argentina 2026","56","catalog","Personalizados"
"5031","Black Label","Black Label Society","Groove Metal; Heavy Metal Classics; Custom Archive","-","remera","Personalizados FMD","-","56","catalog","Personalizados"
